{'loss': 2.958, 'learning_rate': 1e-05, 'epoch': 0.01, 'iter_time': 0.0, 'flops': 0.0, 'remaining_time': 0.0}
{'loss': 1.4001, 'learning_rate': 9.685743484925909e-06, 'epoch': 0.63, 'iter_time': 11.648968217818718, 'flops': 1492930018200.0583, 'remaining_time': 44161.23851375076}
{'loss': 1.518, 'learning_rate': 9.683188553909045e-06, 'epoch': 0.64, 'iter_time': 11.622880181958598, 'flops': 1496280961446.6306, 'remaining_time': 44050.71588962308}
{'loss': 1.5172, 'learning_rate': 9.680633622892184e-06, 'epoch': 0.64, 'iter_time': 11.59889687728882, 'flops': 1499374855853.1091, 'remaining_time': 43948.220268047335}
{'loss': 1.4323, 'learning_rate': 9.67807869187532e-06, 'epoch': 0.65, 'iter_time': 11.578520381261432, 'flops': 1502013535476.0513, 'remaining_time': 43859.43520421831}
{'loss': 1.5257, 'learning_rate': 9.675523760858457e-06, 'epoch': 0.65, 'iter_time': 11.559516741534857, 'flops': 1504482818987.711, 'remaining_time': 43775.8899001925}
{'loss': 2.6377, 'learning_rate': 9.672968829841595e-06, 'epoch': 0.66, 'iter_time': 11.553644251078367, 'flops': 1505247518056.2004, 'remaining_time': 43742.0971345827}
{'loss': 1.6873, 'learning_rate': 9.670413898824731e-06, 'epoch': 0.66, 'iter_time': 11.545220031294711, 'flops': 1506345854500.7666, 'remaining_time': 43698.65781845048}
{'loss': 2.5475, 'learning_rate': 9.66785896780787e-06, 'epoch': 0.67, 'iter_time': 11.520827618012062, 'flops': 1509535157548.0706, 'remaining_time': 43594.811706557644}
{'loss': 1.974, 'learning_rate': 9.665304036791008e-06, 'epoch': 0.67, 'iter_time': 11.494979345161497, 'flops': 1512929585276.7507, 'remaining_time': 43485.50686274594}
{'loss': 1.4363, 'learning_rate': 9.662749105774144e-06, 'epoch': 0.68, 'iter_time': 11.47911504904429, 'flops': 1515020474935.2974, 'remaining_time': 43414.013115485504}
{'loss': 2.0181, 'learning_rate': 9.660194174757283e-06, 'epoch': 0.68, 'iter_time': 11.452163165673278, 'flops': 1518585972086.7476, 'remaining_time': 43300.62892941067}
{'loss': 1.2545, 'learning_rate': 9.65763924374042e-06, 'epoch': 0.69, 'iter_time': 11.439303656122577, 'flops': 1520293092677.183, 'remaining_time': 43240.56782014334}
{'loss': 1.5181, 'learning_rate': 9.655084312723558e-06, 'epoch': 0.69, 'iter_time': 11.416348206555401, 'flops': 1523350025663.533, 'remaining_time': 43142.37987257286}
{'loss': 2.371, 'learning_rate': 9.652529381706694e-06, 'epoch': 0.7, 'iter_time': 11.390695824342615, 'flops': 1526780681499.208, 'remaining_time': 43034.0488243664}
